repoPath,repoName,localPath,repoUrl,skillName,description
E:\develop\code\open-source\github\skills2\mattpocock\skills,mattpocock_skills,E:\develop\code\open-source\github\skills2\mattpocock,git@github.com:mattpocock/skills.git,write-a-prd,这是一个专为产品经理量身定制的 PRD（产品需求文档）撰写 Skill。
E:\develop\code\open-source\github\skills2\staruhub\ClaudeSkills\skills,staruhub_ClaudeSkills,E:\develop\code\open-source\github\skills2\staruhub,git@github.com:staruhub/ClaudeSkills.git,request-analyzer,Request analyzer skill
E:\develop\code\open-source\github\skills2\obra\superpowers\skills,obra_superpowers,E:\develop\code\open-source\github\skills2\obra,git@github.com:obra/superpowers.git,brainstorming,这个 Skill 可以帮助你将模糊想法通过结构化对话转化为清晰设计方案。 https://github.com/obra/superpowers
E:\develop\code\open-source\github\skills2\obra\superpowers\skills,obra_superpowers,E:\develop\code\open-source\github\skills2\obra,git@github.com:obra/superpowers.git,writing-plans,这是一款将需求设计方案拆解为极细颗粒度执行计划的 Skill。
E:\develop\code\open-source\github\skills2\coreyhaines31\marketingskills\skills,coreyhaines31_marketingskills,E:\develop\code\open-source\github\skills2\coreyhaines31,git@github.com:coreyhaines31/marketingskills.git,ab-test-setup,这是一款专业的 A/B 实验设计Skill，帮助产品经理和增长团队设计统计上严格、结果可操作的实验。
E:\develop\code\open-source\github\skills2\coreyhaines31\marketingskills\skills,coreyhaines31_marketingskills,E:\develop\code\open-source\github\skills2\coreyhaines31,git@github.com:coreyhaines31/marketingskills.git,analytics-tracking,这是一款埋点方案设计与 Analytics 实施的专家级 Skill，覆盖事件命名规范、追踪计划文档、GTM 配置、UTM 参数策略和隐私合规的完整方法论，帮助产品和增长团队建立以决策为导向的数据体系，而非为了收集数据而收集数据。
E:\develop\code\open-source\github\skills2\coreyhaines31\marketingskills\skills,coreyhaines31_marketingskills,E:\develop\code\open-source\github\skills2\coreyhaines31,git@github.com:coreyhaines31/marketingskills.git,onboarding-cro,这是一款专注于新用户激活全链路优化的 Skill，帮助产品经理找到“用户 Aha 时刻”，设计让用户尽快到达第一个成功体验的 Onboarding 流程，并搭建多渠道的激活运营体系
E:\develop\code\open-source\github\skills2\wshobson\agents\plugins\ui-design\skills,wshobson_agents,E:\develop\code\open-source\github\skills2\wshobson,git@github.com:wshobson/agents.git,interaction-design,前端交互设计
E:\develop\code\open-source\github\skills2\vercel-labs\skills\skills,vercel-labs_skills,E:\develop\code\open-source\github\skills2\vercel-labs,git@github.com:vercel-labs/skills.git,find-skills,你只需要在 TRAE 中告知 AI 你需要什么，AI 就会调用这个 Skill 去帮你找 Skill，你不再需要去翻看各个 Skill 网站。
E:\develop\code\open-source\github\skills2\YuJunZhiXue\github-skill-forge,YuJunZhiXue_github-skill-forge,E:\develop\code\open-source\github\skills2\YuJunZhiXue,git@github.com:YuJunZhiXue/github-skill-forge.git,github-skill-forge,解决重复性信息检索的 Skill
